R_No	B_No(Boardingpass)	U_No	S_No	Div	Seat
2927	2835	95	514	2	F09
2928	2836	10	515	1	F05
2929	2837	38	515	1	B30
2930	2838	39	515	1	E24
2931	2839	70	515	1	F05
2932	2840	85	515	1	B21
2933	2841	38	516	1	B25
2934	2842	41	516	1	E30
2935	2843	44	516	1	E30
2936	2844	61	516	1	B22
2937	2845	68	516	1	F05
2938	2846	69	516	1	F10
2939	2847	76	516	1	E01
2940	2848	92	516	1	E34
2941	2849	38	517	1	B14
2942	2850	63	517	1	E09
2943	2850	63	517	2	E10
2944	2851	73	517	1	B25
2945	2852	80	517	1	F04
2946	2853	87	517	1	E03
2947	2854	53	518	1	F11
2948	2855	67	518	1	E49
2949	2856	69	518	1	F04
2950	2857	10	519	1	F02
2951	2858	13	519	1	B15
2952	2859	41	519	1	F08
2953	2860	44	519	1	E24
2954	2861	49	519	1	E08
2955	2862	30	520	1	F07
2956	2863	32	520	1	B01
2957	2864	37	520	1	E28
2958	2865	45	520	1	E42
2959	2866	49	520	1	B13
2960	2867	61	520	1	E01
2961	2868	48	521	1	E27
2962	2869	86	521	1	B08
2963	2870	26	522	1	B14
2964	2871	49	522	1	B11
2965	2872	66	522	1	F07
2966	2873	82	522	1	F09
2967	2874	11	523	1	F09
2968	2875	30	523	1	B01
2969	2876	50	523	1	E09
2970	2877	60	523	1	F05
2971	2878	85	523	1	E01
2972	2879	87	523	1	F03
2973	2880	15	524	1	B19
2974	2881	16	524	1	F09
2975	2882	46	524	1	E31
2976	2883	57	524	1	F06
2977	2883	57	524	2	F07
2978	2884	61	524	1	F03
2979	2885	68	524	1	F03
2980	2886	87	524	1	B24
2981	2887	19	525	1	B13
2982	2887	19	525	2	B14
2983	2888	25	525	1	B06
2984	2889	36	525	1	F03
2985	2890	40	525	1	E44
2986	2891	5	526	1	B27
2987	2892	9	526	1	F05
2988	2893	21	526	1	F11
2989	2894	26	526	1	F07
2990	2895	58	526	1	F10
2991	2896	67	526	1	E34
2992	2897	8	527	1	F03
2993	2898	11	527	1	E29
2994	2899	13	527	1	B17
2995	2900	33	527	1	E02
2996	2901	34	527	1	F06
2997	2902	62	527	1	B09
2998	2903	70	527	1	E15
2999	2904	76	527	1	F02
3000	2905	95	527	1	B25
3001	2906	13	528	1	B26
3002	2907	51	528	1	F04
3003	2908	66	528	1	F12
3004	2909	70	528	1	B21
3005	2910	81	528	1	F02
3006	2911	83	528	1	B30
3007	2912	95	528	1	E40
3008	2913	5	529	1	E43
3009	2914	16	529	1	E04
3010	2915	34	529	1	B01
3011	2916	35	529	1	E32
3012	2917	54	529	1	E40
3013	2918	70	529	1	B16
3014	2919	31	530	1	F03
3015	2920	71	530	1	E28
3016	2921	80	530	1	B02
3017	2922	92	530	1	F12
3018	2923	19	531	1	B12
3019	2924	28	531	1	E43
3020	2925	31	531	1	E12
3021	2926	86	531	1	F11
3022	2927	95	531	1	E32
3023	2928	25	532	1	B13
3024	2929	37	532	1	B12
3025	2930	44	532	1	E52
3026	2931	62	532	1	B25
3027	2932	72	532	1	E17
3028	2933	78	532	1	F09
3029	2934	81	532	1	F10
3030	2935	82	532	1	E32
3031	2936	5	533	1	F08
3032	2937	13	533	1	F07
3033	2938	14	533	1	E15
3034	2939	16	533	1	F10
3035	2940	17	533	1	F07
3036	2941	35	533	1	E11
3037	2942	72	533	1	B12
3038	2943	1	534	1	F12
3039	2944	7	534	1	F11
3040	2945	51	534	1	B17
3041	2946	53	534	1	F10
3042	2947	82	534	1	F05
3043	2948	92	534	1	F12
3044	2949	3	535	1	F10
3045	2950	8	535	1	F12
3046	2951	11	535	1	F04
3047	2952	23	535	1	E48
3048	2953	63	535	1	E28
3049	2954	92	535	1	F04
3050	2955	94	535	1	F11
3051	2956	3	536	1	F06
3052	2957	57	536	1	B21
3053	2957	57	536	3	B22
3054	2958	6	537	1	F03
3055	2959	11	537	1	E27
3056	2960	36	537	1	B26
3057	2961	64	537	1	B16
3058	2962	67	537	1	B26
3059	2963	80	537	1	B08
3060	2964	86	537	1	E01
3061	2965	90	537	1	F04
3062	2966	6	539	1	B11
3063	2967	15	539	1	F11
3064	2968	25	539	1	B12
3065	2969	53	539	1	E13
3066	2970	71	539	1	F12
3067	2971	84	539	1	E02
3068	2972	4	540	1	E30
3069	2973	7	540	1	E33
3070	2974	21	540	1	E49
3071	2975	28	540	1	B12
3072	2976	44	540	1	F06
3073	2977	46	540	1	E20
3074	2978	58	540	1	F06
3075	2979	59	540	1	E40
3076	2980	82	540	1	F05
3077	2981	18	541	1	B17
3078	2982	22	541	1	E16
3079	2983	31	541	1	F11
3080	2984	44	541	1	E26
3081	2985	81	541	1	F08
3082	2986	2	542	1	B25
3083	2987	24	542	1	B29
3084	2988	28	542	1	E36
3085	2989	22	543	1	E43
3086	2990	26	543	1	E15
3087	2991	28	543	1	F05
3088	2992	52	543	1	F02
3089	2993	53	543	1	F02
3090	2994	59	543	1	B01
3091	2995	71	543	1	F03
3092	2996	95	543	1	F02
3093	2997	5	544	1	E10
3094	2998	23	544	1	F06
3095	2999	43	544	1	E03
3096	3000	85	544	1	B21
3097	3001	93	544	1	B03
3098	3002	41	545	1	F12
3099	3003	78	545	1	E20
3100	3004	80	545	1	B02
3101	3005	91	545	1	B21
3102	3006	46	546	1	B06
3103	3007	67	546	1	E27
3104	3008	21	547	1	F09
3105	3009	56	547	1	F07
3106	3010	70	547	1	E13
3107	3011	72	547	1	F12
3108	3012	91	547	1	B19
3109	3013	92	547	1	F08
3110	3014	43	548	1	E15
3111	3015	59	548	1	E12
3112	3016	64	548	1	E13
3113	3017	68	548	1	E33
3114	3018	69	548	1	B18
3115	3019	95	548	1	E18
3116	3020	13	549	1	B05
3117	3021	95	549	1	F10
3118	3022	9	550	1	E37
3119	3023	11	550	1	F07
3120	3024	19	550	1	E22
3121	3025	26	550	1	B11
3122	3026	39	550	1	F07
3123	3027	73	550	1	F12
3124	3028	87	550	1	E13
3125	3029	89	550	1	B18
3126	3030	35	551	1	B20
3127	3031	52	551	1	B29
3128	3032	64	551	1	F04
3129	3033	78	551	1	B23
3130	3034	79	551	1	B23
3131	3035	16	552	1	E28
3132	3036	55	552	1	B18
3133	3037	74	552	1	F06
3134	3038	79	552	1	B04
3135	3039	6	553	1	E18
3136	3040	26	553	1	F04
3137	3041	53	553	1	B22
3138	3042	84	553	1	E32
3139	3043	86	553	1	F08
3140	3044	88	553	1	E45
3141	3045	5	554	1	B22
3142	3046	7	554	1	F02
3143	3047	27	554	1	E32
3144	3048	28	554	1	B24
3145	3049	85	554	1	F04
3146	3050	22	555	1	B14
3147	3051	74	555	1	F02
3148	3052	24	556	1	F12
3149	3053	30	556	1	F07
3150	3054	45	556	1	F07
3151	3055	59	556	1	B22
3152	3056	93	556	1	E07
3153	3057	11	557	1	B20
3154	3058	23	557	1	B13
3155	3059	77	557	1	F11
3156	3060	84	557	1	E23
3157	3061	2	558	1	B14
3158	3062	24	558	1	B04
3159	3063	45	558	1	F09
3160	3064	78	558	1	E42
3161	3065	91	558	1	E25
3162	3066	13	559	1	E25
3163	3067	25	559	1	B26
3164	3068	62	559	1	B13
3165	3069	64	559	1	F03
3166	3070	68	559	1	E21
3167	3071	73	559	1	B09
3168	3072	93	559	1	F02
3169	3073	11	560	1	F07
3170	3074	20	560	1	E38
3171	3075	30	560	1	E52
3172	3076	41	560	1	F04
3173	3077	85	560	1	F06
3174	3078	50	561	1	B08
3175	3079	53	561	1	B19
3176	3080	59	561	1	E10
3177	3081	73	561	1	B25
3178	3082	75	561	1	F02
3179	3083	12	562	1	E30
3180	3084	23	562	1	F10
3181	3085	24	562	1	B21
3182	3086	41	562	1	F06
3183	3087	85	562	1	F09
3184	3088	2	563	1	B29
3185	3089	31	563	1	B03
3186	3090	37	563	1	B25
3187	3091	60	563	1	F10
3188	3092	64	563	1	E15
3189	3093	86	563	1	E56
3190	3094	7	564	1	F09
3191	3095	9	564	1	E50
3192	3096	11	564	1	F12
3193	3097	14	564	1	F04
3194	3098	23	564	1	B26
3195	3099	44	564	1	E20
3196	3100	83	564	1	F03
3197	3101	17	565	1	F09
3198	3102	47	565	1	B17
3199	3102	47	565	2	B18
3200	3103	50	565	1	F11
3201	3104	58	565	1	B11
3202	3105	71	565	1	E03
3203	3105	71	565	3	E04
3204	3106	73	565	1	B20
3205	3107	93	565	1	F01
3206	3108	11	566	1	E20
3207	3109	19	566	1	E06
3208	3110	23	566	1	B10
3209	3111	54	566	1	E54
3210	3112	75	566	1	E25
3211	3113	78	566	1	B08
3212	3114	80	566	1	F12
3213	3115	81	566	1	E10
3214	3116	83	566	1	B12
3215	3117	85	566	1	F02
3216	3118	25	567	1	E03
3217	3119	26	567	1	F03
3218	3120	36	567	1	E53
3219	3121	42	567	1	E02
3220	3122	85	567	1	E56
3221	3122	85	567	3	E57
3222	3123	64	568	1	F12
3223	3123	64	568	1	F13
3224	3124	80	568	1	E23
3225	3125	1	569	1	F02
3226	3126	9	569	1	E50
3227	3127	15	569	1	E31
3228	3128	32	569	1	B04
3229	3129	36	569	1	F04
3230	3130	41	569	1	E51
3231	3131	42	569	1	E12
3232	3132	52	569	1	F06
3233	3133	54	569	1	B18
3234	3134	69	569	1	F01
3235	3135	8	570	1	B20
3236	3136	75	570	1	E19
3237	3137	84	570	1	F12
3238	3138	94	570	1	E32
3239	3139	10	571	1	B10
3240	3140	59	571	1	E08
3241	3141	74	571	1	F08
3242	3142	94	571	1	F04
3243	3143	34	572	1	F03
3244	3144	41	572	1	E19
3245	3145	62	572	1	E07
3246	3146	84	572	1	F12
3247	3147	94	572	1	E12
3248	3148	38	573	1	F05
3249	3149	45	573	1	E06
3250	3150	54	573	1	B02
3251	3151	62	573	1	B17
3252	3152	68	573	1	F11
3253	3153	89	573	1	B03
3254	3154	2	574	1	E32
3255	3155	19	574	1	B21
3256	3156	23	574	1	E38
3257	3157	40	574	1	B18
3258	3158	49	574	1	E33
3259	3159	52	574	1	E35
3260	3160	69	574	1	E35
3261	3161	71	574	1	E31
3262	3162	20	575	1	E42
3263	3163	34	575	1	B22
3264	3164	36	575	1	F05
3265	3165	44	575	1	B13
3266	3166	31	576	1	E42
3267	3167	32	576	1	F02
3268	3168	47	576	1	E40
3269	3169	49	576	1	F04
3270	3170	59	576	1	E15
3271	3170	59	576	1	E16
3272	3171	74	576	1	F03
3273	3172	2	577	1	F03
3274	3172	2	577	2	F04
3275	3173	9	577	1	B26
3276	3174	13	577	1	E15
3277	3175	21	577	1	F10
3278	3176	33	577	1	E37
3279	3177	34	577	1	B28
3280	3178	45	577	1	F03
3281	3179	55	577	1	F10
3282	3180	26	578	1	B07
3283	3181	59	578	1	E32
3284	3182	85	578	1	F09
3285	3183	89	578	1	E23
3286	3184	28	579	1	B15
3287	3185	61	579	1	F02
3288	3186	72	579	1	F11
3289	3187	73	579	1	B06
3290	3188	95	579	1	E38
3291	3189	22	580	1	E40
3292	3190	25	580	1	E30
3293	3191	40	580	1	E28
3294	3192	49	580	1	B08
3295	3193	51	580	1	F12
3296	3194	72	580	1	B06
3297	3195	76	580	1	B29
3298	3196	35	581	1	F07
3299	3197	37	581	1	F10
3300	3198	50	581	1	E13
3301	3199	57	581	1	B17
3302	3200	58	581	1	E53
3303	3201	81	581	1	F03
3304	3202	1	582	1	F08
3305	3203	9	582	1	B16
3306	3204	10	582	1	F07
3307	3205	18	582	1	B17
3308	3206	24	582	1	E15
3309	3207	37	582	1	F11
3310	3208	41	582	1	E48
3311	3209	59	582	1	F05
3312	3210	69	582	1	F07
3313	3211	28	583	1	B11
3314	3212	58	583	1	E03
3315	3213	62	583	1	F02
3316	3214	65	583	1	B30
3317	3215	93	583	1	E47
3318	3216	12	584	1	F10
3319	3217	34	584	1	B24
3320	3218	44	584	1	E23
3321	3219	46	584	1	F05
3322	3220	68	584	1	B02
3323	3221	72	584	1	E30
3324	3222	6	585	1	F01
3325	3223	17	585	1	E11
3326	3224	23	585	1	F07
3327	3225	37	585	1	F08
3328	3226	45	585	1	B11
3329	3226	45	585	2	B12
3330	3227	46	585	1	B09
3331	3228	70	585	1	F09
3332	3229	76	585	1	F03
3333	3230	91	585	1	B09
3334	3231	2	586	1	F09
3335	3232	25	586	1	B14
3336	3233	26	586	1	B10
3337	3234	28	586	1	B24
3338	3235	48	586	1	B22
3339	3236	55	586	1	F12
3340	3236	55	586	2	F13
3341	3237	62	586	1	E40
3342	3238	69	586	1	E08
3343	3239	83	586	1	F04
3344	3240	88	586	1	E42
3345	3241	91	586	1	F08
3346	3242	7	587	1	E55
3347	3243	8	587	1	E17
3348	3244	44	587	1	E46
3349	3245	47	587	1	E24
3350	3246	75	587	1	F02
3351	3247	83	587	1	B04
3352	3248	90	587	1	F01
3353	3249	21	588	1	B05
3354	3250	27	588	1	E56
3355	3251	53	588	1	F03
3356	3252	67	588	1	E37
3357	3253	87	588	1	B09
3358	3254	92	588	1	E19
3359	3255	2	589	1	E56
3360	3256	46	589	1	B27
3361	3257	48	589	1	B24
3362	3258	60	589	1	B15
3363	3259	79	589	1	E24
3364	3260	82	589	1	B22
3365	3260	82	589	2	B23
3366	3261	26	590	1	B27
3367	3262	49	590	1	E01
3368	3263	51	590	1	E08
3369	3264	63	590	1	F12
3370	3265	3	591	1	B15
3371	3266	51	591	1	F03
3372	3267	57	591	1	E35
3373	3268	70	591	1	B24
3374	3269	10	592	1	F09
3375	3270	26	592	1	E15
3376	3271	73	592	1	B27
3377	3271	73	592	3	B28
3378	3272	12	593	1	F04
3379	3273	15	593	1	F07
3380	3274	30	593	1	B06
3381	3275	36	593	1	E56
3382	3276	41	593	1	B02
3383	3277	62	593	1	F04
3384	3278	79	593	1	F06
3385	3279	81	593	1	E07
3386	3280	83	593	1	B24
3387	3281	22	594	1	F07
3388	3282	31	594	1	F06
3389	3283	68	594	1	B29
3390	3284	86	594	1	E31
3391	3285	19	595	1	F06
3392	3286	22	595	1	B27
3393	3287	56	595	1	E46
3394	3288	58	595	1	F04
3395	3289	14	596	1	B23
3396	3290	31	596	1	F04
3397	3291	52	596	1	F11
3398	3292	61	596	1	E22
3399	3293	63	596	1	B09
3400	3294	77	596	1	E49
3401	3295	93	596	1	E40
3402	3296	14	597	1	B24
3403	3297	30	597	1	F01
3404	3298	47	597	1	B07
3405	3299	51	597	1	B22
3406	3300	74	597	1	F11
3407	3301	81	597	1	E20
3408	3302	39	598	1	F01
3409	3303	49	598	1	B09
3410	3304	69	598	1	F02
3411	3304	69	598	3	F03
3412	3305	87	598	1	E51
3413	3306	21	599	1	E02
3414	3307	28	599	1	E23
3415	3308	53	599	1	E03
3416	3309	88	599	1	F03
3417	3310	8	600	1	B24
3418	3311	25	600	1	E45
3419	3312	26	600	1	E22
3420	3313	95	600	1	B21
3421	3314	4	601	1	E09
3422	3315	9	601	1	E40
3423	3316	22	601	1	E29
3424	3317	45	601	1	B22
3425	3318	58	601	1	E20
3426	3319	83	601	1	F10
3427	3320	14	602	1	B15
3428	3321	26	602	1	E54
3429	3322	29	602	1	E24
3430	3323	31	602	1	E36
3431	3324	45	602	1	F02
3432	3325	78	602	1	F09
3433	3326	89	602	1	E15
3434	3327	27	603	1	E23
3435	3328	79	603	1	E36
3436	3329	2	604	1	E42
3437	3330	25	604	1	B07
3438	3331	41	604	1	E50
3439	3332	58	604	1	B06
3440	3333	24	605	1	B08
3441	3334	45	605	1	E37
3442	3335	75	605	1	E37
3443	3336	80	605	1	B29
3444	3337	20	606	1	B24
3445	3338	34	606	1	E08
3446	3339	74	606	1	B05
3447	3340	84	606	1	E08
3448	3341	16	607	1	E20
3449	3342	47	607	1	B28
3450	3343	79	607	1	E07
3451	3344	94	607	1	B11
3452	3345	3	608	1	E39
3453	3346	39	608	1	B13
3454	3347	80	608	1	F10
3455	3348	4	609	1	E37
3456	3349	17	609	1	E43
3457	3350	26	609	1	F05
3458	3351	59	609	1	F11
3459	3352	86	609	1	F02
3460	3353	25	610	1	E33
3461	3354	89	610	1	E38
3462	3355	9	611	1	E05
3463	3356	13	611	1	B28
3464	3357	38	611	1	B03
3465	3358	44	611	1	E05
3466	3359	65	611	1	F05
3467	3360	67	611	1	F04
3468	3361	71	611	1	B25
3469	3362	76	611	1	E53
3470	3363	77	611	1	E28
3471	3363	77	611	3	E29
3472	3364	15	612	1	B10
3473	3365	36	612	1	E01
3474	3366	44	612	1	B17
3475	3367	74	612	1	E47
3476	3368	75	612	1	B05
3477	3369	82	612	1	B04
3478	3370	84	612	1	B28
3479	3371	3	613	1	B13
3480	3372	31	613	1	B30
3481	3373	34	613	1	E18
3482	3374	46	613	1	F10
3483	3375	57	613	1	E46
3484	3376	86	613	1	E46
3485	3377	92	613	1	B14
3486	3378	39	614	1	B14
3487	3378	39	614	1	B15
3488	3379	61	614	1	E08
3489	3380	73	614	1	E32
3490	3381	92	614	1	F04
3491	3382	12	615	1	F09
3492	3383	13	615	1	F04
3493	3384	95	615	1	F08
3494	3385	6	616	1	B29
3495	3386	7	616	1	F12
3496	3387	20	616	1	F05
3497	3388	26	616	1	F06
3498	3389	33	616	1	B19
3499	3390	38	616	1	B19
3500	3391	45	616	1	B04
3501	3392	61	616	1	E06
3502	3393	69	616	1	E40
3503	3394	6	617	1	B11
3504	3395	17	617	1	B03
3505	3396	19	617	1	B14
3506	3397	1	618	1	B18
3507	3398	25	618	1	F05
3508	3399	30	618	1	E22
3509	3400	40	618	1	B25
3510	3401	44	618	1	E22
3511	3402	63	618	1	E22
3512	3403	67	618	1	F01
3513	3404	70	618	1	F08
3514	3405	8	619	1	F09
3515	3406	43	619	1	E48
3516	3407	92	619	1	B26
3517	3408	5	620	1	F11
3518	3409	22	620	1	E14
3519	3410	47	620	1	E12
3520	3411	84	620	1	B11
3521	3412	89	620	1	F01
3522	3413	90	620	1	E44
3523	3414	7	621	1	B28
3524	3415	30	621	1	B04
3525	3416	36	621	1	B09
3526	3417	62	621	1	E22
3527	3418	12	622	1	F07
3528	3419	16	622	1	F02
3529	3420	46	622	1	F03
3530	3421	64	622	1	B12
3531	3422	68	622	1	B07
3532	3423	74	622	1	E39
3533	3424	82	622	1	F03
3534	3425	95	622	1	E25
3535	3426	14	623	1	F04
3536	3427	37	623	1	F09
3537	3428	39	623	1	E08
3538	3429	51	623	1	F07
3539	3430	89	623	1	B13
3540	3431	24	624	1	B21
3541	3432	27	624	1	F01
3542	3433	30	624	1	F06
3543	3434	38	624	1	E30
3544	3435	73	624	1	E27
3545	3436	17	625	1	F09
3546	3437	19	625	1	B04
3547	3438	23	625	1	E56
3548	3439	27	625	1	F11
3549	3440	30	625	1	F10
3550	3441	31	625	1	E44
3551	3442	50	625	1	B07
3552	3443	61	625	1	B23
3553	3444	67	625	1	F12
3554	3445	86	625	1	E20
3555	3446	3	626	1	F07
3556	3447	13	626	1	B06
3557	3448	16	626	1	F01
3558	3448	16	626	2	F02
3559	3448	16	626	2	E24
3560	3449	33	626	1	E47
3561	3450	45	626	1	E56
3562	3451	48	626	1	F03
3563	3452	78	626	1	B24
3564	3453	80	626	1	E18
3565	3454	37	627	1	E42
3566	3455	46	627	1	E20
3567	3456	65	627	1	F11
3568	3457	92	627	1	F03
3569	3458	13	628	1	F08
3570	3459	26	628	1	B17
3571	3460	47	628	1	F12
3572	3461	7	629	1	F10
3573	3462	9	629	1	B27
3574	3463	10	629	1	B19
3575	3463	10	629	1	B20
3576	3464	48	629	1	B16
3577	3465	62	629	1	B07
3578	3466	10	630	1	E22
3579	3467	47	630	1	E49
3580	3468	63	630	1	E27
3581	3469	6	631	1	F11
3582	3470	37	631	1	E41
3583	3471	73	631	1	E38
3584	3472	89	631	1	B22
3585	3473	92	631	1	E22
3586	3474	4	632	1	F12
3587	3475	24	632	1	B21
3588	3476	36	632	1	F11
3589	3477	37	632	1	F01
3590	3478	77	632	1	E15
3591	3479	89	632	1	E56
3592	3480	25	633	1	F01
3593	3481	27	633	1	F11
3594	3482	32	633	1	F02
3595	3483	43	633	1	E37
3596	3484	49	633	1	F03
3597	3485	55	633	1	F05
3598	3486	58	633	1	E15
3599	3487	22	634	1	F05
3600	3488	24	634	1	B05
3601	3489	27	634	1	B17
3602	3490	31	634	1	B25
3603	3491	47	634	1	E03
3604	3492	48	634	1	F04
3605	3493	58	634	1	F03
3606	3494	88	634	1	E31
3607	3494	88	634	3	E32
3608	3495	93	634	1	E54
3609	3496	38	635	1	B21
3610	3497	51	635	1	F07
3611	3498	65	635	1	B16
3612	3499	86	635	1	E54
3613	3500	95	635	1	F11
3614	3501	2	636	1	F07
3615	3501	2	636	2	F08
3616	3502	4	636	1	F01
3617	3503	9	636	1	B03
3618	3504	20	636	1	E36
3619	3505	44	636	1	B26
3620	3506	68	636	1	F10
3621	3507	24	637	1	E09
3622	3508	68	637	1	F09
3623	3509	84	637	1	F12
3624	3510	4	639	1	B03
3625	3511	14	639	1	F11
3626	3512	21	639	1	E32
3627	3513	25	639	1	E36
3628	3514	32	639	1	F11
3629	3515	55	639	1	F03
3630	3516	83	639	1	F06
3631	3517	91	639	1	E44
3632	3518	6	640	1	B12
3633	3519	9	640	1	F12
3634	3520	10	640	1	E41
3635	3521	11	640	1	E09
3636	3522	28	640	1	F11
3637	3523	39	640	1	B05
3638	3524	43	640	1	B13
3639	3525	18	641	1	F02
3640	3526	41	641	1	B18
3641	3527	46	641	1	B25
3642	3528	78	641	1	B13
3643	3529	18	642	1	E04
3644	3529	18	642	2	E05
3645	3530	24	642	1	F01
3646	3531	36	642	1	E30
3647	3532	49	642	1	B28
3648	3533	81	642	1	F10
3649	3534	82	642	1	B12
3650	3535	1	643	1	B02
3651	3536	16	643	1	B14
3652	3537	38	643	1	F05
3653	3538	44	643	1	E36
3654	3539	4	644	1	E12
3655	3540	33	644	1	F07
3656	3541	45	644	1	B27
3657	3542	55	644	1	F01
3658	3543	61	644	1	E41
3659	3544	68	644	1	E47
3660	3545	75	644	1	F03
3661	3546	35	645	1	F01
3662	3547	57	645	1	F02
3663	3548	69	645	1	F10
3664	3548	69	645	2	F11
3665	3549	86	645	1	F09
3666	3550	90	645	1	F06
3667	3551	5	646	1	F04
3668	3552	46	646	1	B26
3669	3553	64	646	1	B30
3670	3554	69	646	1	B24
3671	3555	81	646	1	B13
3672	3556	10	647	1	E45
3673	3557	12	647	1	B18
3674	3558	13	647	1	E01
3675	3559	27	647	1	F11
3676	3560	42	647	1	E54
3677	3561	81	647	1	F02
3678	3562	7	648	1	E39
3679	3563	30	648	1	B24
3680	3564	54	648	1	B11
3681	3565	58	648	1	F12
3682	3566	59	648	1	B24
3683	3567	69	648	1	F07
3684	3568	89	648	1	B06
3685	3569	91	648	1	F06
3686	3570	7	649	1	F07
3687	3571	31	649	1	F05
3688	3572	45	649	1	F08
3689	3573	94	649	1	F02
3690	3574	6	650	1	E01
3691	3575	9	650	1	E12
3692	3576	39	650	1	B24
3693	3577	46	650	1	F04
3694	3578	64	650	1	F09
3695	3578	64	650	2	F10
3696	3579	67	650	1	E10
3697	3580	69	650	1	E42
3698	3581	83	650	1	E27
3699	3582	91	650	1	E33
3700	3583	12	651	1	B21
3701	3584	20	651	1	E01
3702	3585	41	651	1	E08
3703	3586	45	651	1	E06
3704	3587	76	651	1	E44
3705	3588	89	651	1	E46
3706	3589	6	652	1	F07
3707	3590	11	652	1	E48
3708	3591	22	652	1	F01
3709	3592	25	652	1	B16
3710	3593	69	652	1	B27
3711	3594	79	652	1	E12
3712	3595	1	653	1	B11
3713	3596	31	653	1	F02
3714	3597	58	653	1	F08
3715	3598	5	654	1	F01
3716	3599	29	654	1	F01
3717	3600	33	654	1	E42
3718	3601	46	654	1	E27
3719	3602	59	654	1	B01
3720	3603	14	655	1	B14
3721	3604	31	655	1	F07
3722	3605	51	655	1	F03
3723	3606	67	655	1	F05
3724	3607	71	655	1	E26
3725	3608	77	655	1	B30
3726	3609	5	656	1	F05
3727	3610	35	656	1	E47
3728	3611	69	656	1	B14
3729	3612	76	656	1	E53
3730	3613	78	656	1	B13
3731	3614	2	657	1	B26
3732	3615	15	657	1	F03
3733	3616	25	657	1	E16
3734	3617	35	657	1	E54
3735	3618	42	657	1	B19
3736	3619	56	657	1	B12
3737	3620	59	657	1	E07
3738	3621	63	657	1	F05
3739	3622	36	658	1	B07
3740	3623	56	658	1	E06
3741	3624	64	658	1	F03
3742	3625	85	658	1	E40
3743	3626	10	659	1	E18
3744	3627	12	659	1	E03
3745	3628	17	659	1	E47
3746	3629	30	659	1	E37
3747	3630	61	659	1	B06
3748	3630	61	659	2	B07
3749	3631	69	659	1	B02
3750	3632	82	659	1	E30
3751	3633	1	660	1	B08
3752	3634	2	660	1	F07
3753	3635	11	660	1	E01
3754	3636	18	660	1	B30
3755	3637	29	660	1	F07
3756	3638	54	660	1	F06
3757	3639	73	660	1	E43
3758	3640	78	660	1	E39
3759	3641	80	660	1	B26
3760	3642	93	660	1	F07
3761	3643	4	661	1	E06
3762	3644	18	661	1	E10
3763	3645	84	661	1	B24
3764	3646	6	662	1	B02
3765	3647	7	662	1	E07
3766	3648	9	662	1	F06
3767	3649	41	662	1	E50
3768	3650	58	662	1	B05
3769	3651	91	662	1	B01
3770	3652	8	663	1	E11
3771	3653	41	663	1	B29
3772	3654	46	663	1	B02
3773	3655	52	663	1	E40
3774	3656	86	663	1	F06
3775	3657	11	664	1	E36
3776	3658	63	664	1	F02
3777	3659	68	664	1	E44
3778	3660	76	664	1	E36
3779	3661	24	665	1	F11
3780	3662	67	665	1	F04
3781	3663	72	665	1	E42
3782	3664	85	665	1	F08
3783	3665	92	665	1	F06
3784	3666	9	666	1	B01
3785	3667	58	666	1	E06
3786	3668	73	666	1	F06
3787	3669	21	667	1	F03
3788	3670	32	667	1	B19
3789	3671	35	667	1	B29
3790	3672	37	667	1	E20
3791	3673	39	667	1	B03
3792	3674	45	667	1	B14
3793	3675	63	667	1	B08
3794	3676	19	668	1	B04
3795	3677	57	668	1	B21
3796	3678	11	669	1	F04
3797	3679	12	669	1	E20
3798	3680	61	669	1	E27
3799	3681	63	669	1	E54
3800	3682	65	669	1	B16
3801	3683	75	669	1	E30
3802	3684	2	670	1	B01
3803	3685	17	670	1	B30
3804	3686	23	670	1	F07
3805	3687	52	670	1	E19
3806	3688	10	671	1	E40
3807	3689	76	671	1	F01
3808	3690	77	671	1	B04
3809	3691	87	671	1	E11
3810	3692	14	672	1	E16
3811	3693	35	672	1	F09
3812	3694	36	672	1	E32
3813	3695	54	672	1	B14
3814	3696	64	672	1	E49
3815	3697	84	672	1	B24
3816	3698	87	672	1	F06
3817	3699	2	673	1	E43
3818	3700	17	673	1	E31
3819	3701	28	673	1	F09
3820	3702	36	673	1	F11
3821	3703	57	673	1	E55
3822	3704	70	673	1	B01
3823	3705	16	674	1	E46
3824	3706	19	674	1	F02
3825	3707	59	674	1	F09
3826	3708	69	674	1	E14
3827	3709	77	674	1	B16
3828	3710	12	675	1	E43
3829	3711	42	675	1	E22
3830	3712	50	675	1	F07
3831	3712	50	675	1	F08
3832	3713	66	675	1	B23
3833	3714	73	675	1	B01
3834	3715	3	676	1	B10
3835	3716	14	676	1	E23
3836	3717	30	676	1	F06
3837	3718	53	676	1	B24
3838	3719	62	676	1	F08
3839	3720	88	676	1	E32
3840	3721	36	677	1	F06
3841	3721	36	677	3	F07
3842	3722	41	677	1	B16
3843	3723	42	677	1	B22
3844	3724	71	677	1	B19
3845	3725	1	678	1	E06
3846	3726	32	678	1	F12
3847	3727	60	678	1	B30
3848	3728	91	678	1	E55
3849	3729	11	679	1	B21
3850	3730	30	679	1	F10
3851	3731	65	679	1	F05
3852	3732	78	679	1	F07
3853	3733	81	679	1	B09
3854	3734	9	680	1	B20
3855	3735	19	680	1	B20
3856	3736	45	680	1	B21
3857	3737	47	681	1	B24
